nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean
NÃO IDENTIFICADO 26352,26352,1,0,0,0,0,0,1,0,150,0.6666666666666667,0,0,0,0.6666666666666667,0,0,0
NÃO IDENTIFICADO 26387,26387,3,0,0,0,0,0,3,0,363,0.7142857142857143,0,0,0,1.3182076085301893,0,0,0
NÃO IDENTIFICADO 26395,26395,7,0,0,0,0,0,6,0,542,1.5796019900497513,0,0,0,1.4093262044754582,0,0,0
NÃO IDENTIFICADO 26464,26464,18,0,0,0,0,0,9,0,796,1.9230769230769231,0,0,0,2.4979862639741213,0,0,0
NÃO IDENTIFICADO 26603,26603,24,0,1,0,0,0,12,0,892,2.632034632034632,0,0,0,2.9478799654832426,0,0,0.10822510822510822
NÃO IDENTIFICADO 27049,27049,5,0,0,0,0,0,3,0,337,1.4285714285714286,0,0,0,1.6582496896239716,0,0,0
NÃO IDENTIFICADO 27057,27057,20,0,1,0,0,0,11,0,1539,1.5384615384615385,0,0,0,2.3017954746100817,0,0,0.06993006993006994
NÃO IDENTIFICADO 27219,27219,7,0,0,0,0,0,2,0,296,2.3529411764705883,0,0,0,2.3529411764705883,0,0,0
NÃO IDENTIFICADO 280045,280045,6,0,0,0,0,0,3,0,148,4.651162790697675,0,0,0,10.571006153600255,0,0,0
NÃO IDENTIFICADO 28256,28256,7,0,0,0,0,0,3,0,375,2.1739130434782608,0,0,0,1.9241518020218558,0,0,0
NÃO IDENTIFICADO 28479,28479,6,0,0,0,0,0,3,0,471,1.5625,0,0,0,1.3599770642201836,0,0,0
NÃO IDENTIFICADO 28606,28606,2,0,0,0,0,0,1,0,128,1.5625,0,0,0,1.5625,0,0,0
NÃO IDENTIFICADO 28614,28614,2,0,0,0,0,0,1,0,134,1.4925373134328357,0,0,0,1.4925373134328357,0,0,0
