objectid,numero,ponteid,observacao,sequencial,compriment,nomeusual,distritoid,setorid,tipolograd,redeaguasp,tipopavime,estadocons,meiofio,separacaov,sentidovia,calcadaimp,calcadapar,sinalizaca,dispositiv,sinaliza_1,sinaliza_2,ponte,redeagua,redetelefo,redeesgoto,redeilumin,redeenergi,areasverde,arvore,lixeirapub,telefonepu,bancos,hidrantes,caixacorre,bancajorna,pontoonibu,pontotaxi,pontomotot,placapubli,placatrans,semaforo,faixapedes,poste,formulario,pesquisado,eglid,logradouro,coletalixo,trechoviai,trechovi_1,nomelograd
9352,0,0,,10852,0,,9,9,2,1,1,1,2,1,2,1,4,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,209646,15,12376,28789,,12376,12376,AVENIDA FRANCISCO LOPES DE ALMEIDA
9353,0,0,,12565,0,,7,7,1,1,1,1,2,1,1,2,2,3,4,1,4,6,1,1,1,1,1,2,2,0,1,0,0,0,0,0,1,1,0,2,0,0,2,205243,6,14625,493,,14625,14625,RUA MONTEVIDÉO
9354,0,0,,10856,0,,9,9,2,3,1,1,2,1,2,2,4,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,209650,15,12380,28789,,12380,12380,AVENIDA FRANCISCO LOPES DE ALMEIDA
9355,0,0,,10860,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206959,9,12384,29190,,12384,12384,AVENIDA FORTALEZA
9356,0,0,,10863,0,,14,14,1,3,6,4,4,5,2,4,3,4,4,4,4,6,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,206962,13,12387,700452,,12387,12387,"RUA PROJETADA 
 1
5"
9357,0,0,,10872,0,,14,14,1,3,2,2,2,5,2,2,2,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,207207,14,12396,33464,,12396,12396,RUA STÊNIO MOZART BEZERRA DE LIMA
9358,0,0,,10873,0,,14,14,1,3,2,2,2,5,2,2,2,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207208,14,12397,33464,,12397,12397,RUA STÊNIO MOZART BEZERRA DE LIMA
9359,0,0,,10876,0,,14,14,1,2,2,2,2,5,2,2,1,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,207211,14,12400,33650,,12400,12400,RUA CARMELITA SILVA ARAÚJO
9360,0,0,,10877,0,,14,14,1,3,6,4,4,5,2,4,3,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206967,9,12401,29220,,12401,12401,RUA PORTO VELHO
9361,0,0,,10878,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,206968,9,12402,29238,,12402,12402,RUA FLORIANÓPOLIS
